"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
5.4225,0.381906474448707,0.0618109349999525,0.159349655475887,0.886285696760166
5.43,0.383520846779546,0.0583922814367367,0.166113514101204,0.884583221158477
5.4375,0.3851005525396,0.0549549409709784,0.172857321041291,0.882829714814234
5.445,0.38664544190213,0.0514992834742972,0.179580715957,0.881025417987633
5.4525,0.388155368873374,0.0480256793318376,0.186283341245304,0.879170572982065
5.46,0.389630191281862,0.044534499407456,0.192964842042241,0.87726542411681
5.4675,0.391069770767527,0.0410261150092128,0.199624866225658,0.875310217699883
5.475,0.392473972770604,0.0375008978551657,0.206263064417755,0.873305202001036
5.4825,0.393842666520329,0.0339592200394612,0.212879089987452,0.871250627224912
5.49,0.39517572502344,0.030401453998728,0.219472599052556,0.86914674548436
5.4975,0.396473025052481,0.0268279724787682,0.226043250481754,0.866993810773896
5.505,0.397734447133918,0.0232391485015448,0.232590705896419,0.864792078943326
