Freq [GHz],"dB(St(FloquetPort1:1,FloquetPort1:1)) []","dB(St(FloquetPort2:1,FloquetPort1:1)) []"
4.2675,-13.83310162,-0.363890637
4.275,-13.79198237,-0.36586855
4.2825,-13.75049299,-0.367880058
4.29,-13.708656,-0.369924836
4.2975,-13.66649335,-0.372002557
4.305,-13.62402641,-0.374112897
4.3125,-13.58127594,-0.376255536
4.32,-13.53826213,-0.378430154
4.3275,-13.4950046,-0.380636433
4.335,-13.45152235,-0.382874059
4.3425,-13.40783385,-0.385142716
4.35,-13.36395696,-0.387442096
4.3575,-13.319909,-0.389771886
4.365,-13.27570671,-0.392131782
4.3725,-13.2313663,-0.394521476
4.38,-13.18690341,-0.396940665
4.3875,-13.14233316,-0.399389049
4.395,-13.09767016,-0.401866327
4.4025,-13.05292847,-0.404372202
4.41,-13.00812166,-0.406906378
4.4175,-12.96326283,-0.409468563
4.425,-12.91836454,-0.412058463
4.4325,-12.87343893,-0.41467579
4.44,-12.82849765,-0.417320255
4.4475,-12.78355189,-0.419991573
4.455,-12.73861243,-0.42268946
4.4625,-12.6936896,-0.425413634
4.47,-12.64879331,-0.428163814
4.4775,-12.60393308,-0.430939724
4.485,-12.55911801,-0.433741085
4.4925,-12.51435685,-0.436567624
4.5,-12.46965795,-0.439419069
4.5075,-12.42502932,-0.442295149
4.515,-12.38047859,-0.445195595
4.5225,-12.33601308,-0.44812014
4.53,-12.29163976,-0.451068519
4.5375,-12.24736531,-0.454040469
4.545,-12.20319606,-0.457035729
4.5525,-12.15913808,-0.460054039
4.56,-12.11519714,-0.463095141
4.5675,-12.07137872,-0.46615878
4.575,-12.02768803,-0.469244703
4.5825,-11.98413004,-0.472352655
4.59,-11.94070947,-0.475482388
4.5975,-11.89743076,-0.478633652
4.605,-11.85429816,-0.481806201
4.6125,-11.81131567,-0.484999789
4.62,-11.76848709,-0.488214174
4.6275,-11.72581599,-0.491449113
4.635,-11.68330576,-0.494704368
4.6425,-11.64095958,-0.497979699
4.65,-11.59878045,-0.501274871
4.6575,-11.5567712,-0.504589649
4.665,-11.51493446,-0.5079238
4.6725,-11.47327273,-0.511277093
4.68,-11.43178831,-0.514649299
4.6875,-11.39048339,-0.51804019
4.695,-11.34935998,-0.52144954
4.7025,-11.30841995,-0.524877124
4.71,-11.26766506,-0.528322719
4.7175,-11.22709691,-0.531786105
4.725,-11.18671699,-0.535267063
4.7325,-11.14652666,-0.538765374
4.74,-11.10652718,-0.542280822
4.7475,-11.06671968,-0.545813193
4.755,-11.02710521,-0.549362273
4.7625,-10.98768468,-0.552927853
4.77,-10.94845894,-0.556509721
4.7775,-10.90942872,-0.56010767
