"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort1:1,FloquetPort1:1)) [deg]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort2:1,FloquetPort1:1)) [deg]"
5.535,-7.90438125362597,1.24389206550059,-0.97600981165796,73.184625645883
5.5425,-7.88245290137972,0.721018240232644,-0.980403545494787,72.7447286775268
5.55,-7.8606468890291,0.198980349732563,-0.984798861844352,72.3050298796442
5.5575,-7.83896239738485,-0.322230171403772,-0.989195673268298,71.8655284532843
5.565,-7.81739861280876,-0.842621775507584,-0.993593893121003,71.4262236011119
5.5725,-7.79595472722732,-1.36220280380595,-0.99799343554417,70.987114527412
5.58,-7.77462993814312,-1.88098148835075,-1.00239421546145,70.5482004380939
5.5875,-7.75342344864408,-2.39896595391031,-1.00679614857313,70.1094805406945
5.595,-7.7323344674107,-2.91616421982345,-1.01119915135087,69.6709540443825
5.6025,-7.71136220872129,-3.43258420181686,-1.01560314103246,69.2326201599612
5.61,-7.69050589245543,-3.94823371378678,-1.02000803561666,68.7944780998718
5.6175,-7.66976474409558,-4.46312046954587,-1.02441375385808,68.3565270781964
5.625,-7.64913799472705,-4.97725208453532,-1.0288202152621,67.9187663106606
5.6325,-7.62862488103634,-5.49063607750362,-1.03322734007987,67.4811950146358
