"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
3,0.387412311894456,0.907036152471365
3.0075,0.384836015432601,0.908068830842455
3.015,0.382265167865991,0.909090977003516
3.0225,0.379699935612885,0.91010260578112
3.03,0.377140486565235,0.911103732701157
3.0375,0.374586990121221,0.91209437398322
3.045,0.372039617218711,0.913074546534857
3.0525,0.369498540369671,0.914044267945721
3.06,0.366963933695495,0.915003556481591
3.0675,0.364435972963284,0.915952431078296
3.075,0.361914835623038,0.916890911335517
3.0825,0.359400700845779,0.917819017510494
3.09,0.356893749562577,0.918736770511624
3.0975,0.354394164504478,0.919644191891961
3.105,0.351902130243313,0.920541303842621
3.1125,0.349417833233371,0.921428129186088
3.12,0.346941461853913,0.922304691369438
3.1275,0.344473206452507,0.923171014457462
3.135,0.342013259389144,0.924027123125723
3.1425,0.339561815081112,0.924873042653506
3.15,0.337119070048587,0.925708798916716
3.1575,0.33468522296089,0.92653441838068
3.165,0.332260474683377,0.927349928092883
3.1725,0.329845028324899,0.928155355675641
3.18,0.327439089285767,0.928950729318691
3.1875,0.325042865306174,0.929736077771735
3.195,0.322656566514985,0.930511430336911
3.2025,0.320280405478823,0.93127681686121
3.21,0.31791459725136,0.932032267728839
3.2175,0.315559359422731,0.932777813853531
3.225,0.313214912168942,0.933513486670804
3.2325,0.310881478301188,0.934239318130181
3.24,0.308559283314937,0.934955340687354
3.2475,0.306248555438659,0.935661587296324
3.255,0.303949525682055,0.936358091401487
3.2625,0.30166242788363,0.937044886929702
3.27,0.29938749875744,0.93772200828231
3.2775,0.297124977938852,0.93838949032714
3.285,0.294875108029097,0.939047368390479
3.2925,0.292638134638437,0.939695678249022
3.3,0.290414306427719,0.9403344561218
3.3075,0.288203875148068,0.940963738662094
3.315,0.286007095678492,0.941583562949327
3.3225,0.283824226061119,0.942193966480953
3.33,0.281655527533788,0.942794987164326
3.3375,0.279501264559691,0.943386663308568
3.345,0.277361704853762,0.943969033616432
3.3525,0.275237119405457,0.94454213717616
3.36,0.273127782497597,0.945106013453344
3.3675,0.27103397172088,0.945660702282789
3.375,0.268955967983686,0.946206243860378
3.3825,0.266894055516754,0.946742678734954
3.39,0.264848521872314,0.947270047800198
3.3975,0.262819657917208,0.947788392286534
3.405,0.260807757819552,0.948297753753036
3.4125,0.258813119028432,0.948798174079362
3.42,0.256836042246145,0.949289695457697
3.4275,0.254876831392451,0.94977236038473
3.435,0.252935793560301,0.95024621165364
3.4425,0.251013238962479,0.950711292346119
3.45,0.249109480868599,0.951167645824414
3.4575,0.247224835531853,0.951615315723409
3.465,0.245359622104932,0.952054345942722
3.4725,0.24351416254451,0.952484780638855
3.48,0.241688781503671,0.952906664217362
3.4875,0.23988380621167,0.953320041325066
3.495,0.238099566340413,0.953724956842309
3.5025,0.236336393857031,0.954121455875239
3.51,0.234594622861947,0.954509583748155
3.5175,0.232874589411836,0.954889385995871
3.525,0.231176631326893,0.955260908356154
3.5325,0.229501087981843,0.955624196762183
3.54,0.227848300080165,0.955979297335074
3.5475,0.226218609411014,0.956326256376449
3.555,0.224612358588372,0.956665120361055
3.5625,0.223029890772019,0.956995935929443
3.57,0.221471549369932,0.95731874988069
3.5775,0.219937677721813,0.957633609165187
3.585,0.218428618763493,0.95794056087748
